Durchschnittlicher Dieselpreis in Deutschland bis Januar 2022,
Durchschnittlicher Preis für Diesel-Kraftstoff in Deutschland vom 7. Januar 2014 bis zum 11. Januar 2022 (in Eurocent pro Liter),
Datum,Preis
29. Mai 18,130
05. Jun 18,130
12. Jun 18,128.9
19. Jun 18,128.6
26. Jun 18,127.3
03. Jul 18,128.7
10. Jul 18,128.6
17. Jul 18,127.8
24. Jul 18,127.2
31. Jul 18,127.8
07. Aug 18,128.7
14. Aug 18,129.7
21. Aug 18,129.6
28. Aug 18,131.1
04. Sep 18,132
11. Sep 18,133.9
18. Sep 18,133.8
25. Sep 18,133.5
02. Okt 18,135.4
09. Okt 18,137.7
16. Okt 18,136.8
23. Okt 18,139.8
30. Okt 18,143.8
06. Nov 18,144.7
13. Nov 18,145.2
20. Nov 18,143.3
27. Nov 18,138.8
04. Dez 18,136.9
11. Dez 18,133.2
18. Dez 18,129.7
25. Dez 18,126.4
01. Jan 19,124.3
08. Jan 19,123.2
15. Jan 19,123.9
22. Jan 19,123.4
29. Jan 19,123.8
05. Feb 19,124
12. Feb 19,124.7
19. Feb 19,126.5
26. Feb 19,126.8
5. Mär 19,126.8
12. Mär 19,126.7
19. Mär 19,126.5
26. Mär 19,126.2
2. Apr 19,125.6
9. Apr 19,126.7
16. Apr 19,127.7
23. Apr 19,129.4
30. Apr 19,129.4
7. Mai 19,130.2
14. Mai 19,129.8
21. Mai 19,131.6
28. Mai 19,129.7
04. Juni 19,128.2
11. Juni 19,126.1
18. Juni 19,125.2
25. Juni 19,125.7
02. Juli 19,125.8
09. Juli 19,124.8
16. Juli 19,125.8
23. Juli 19,124.9
30. Juli 19,125.1
06. Aug 19,125
13. Aug 19,123.4
20. Aug 19,123.9
27. Aug 19,124
03. Sep 19,123.9
10. Sep 19,124.8
17. Sep 19,127.7
24. Sep 19,127.4
01. Okt 19,127.1
15. Okt 19,126.4
22. Okt 19,125.8
29. Okt 19,126.3
05. Nov 19,125.5
12. Nov 19,125.4
19. Nov 19,125.9
26. Nov 19,125.8
03. Dez 19,125.6
10. Dez 19,125.4
17. Dez 19,126.6
31. Dez 19,131.4
7. Jan 20,133.6
14. Jan 20,130.7
21. Jan 20,128.8
28. Jan 20,125.8
04. Feb 20,124.3
11. Feb 20,124
18. Feb 20,124.8
25. Feb 20,123.3
3. Mär 20,120.2
10. Mär 20,117.8
17. Mär 20,113.7
24. Mär 20,112.4
31. Mär 20,111.5
7. Apr 20,110.5
14. Apr 20,109.6
21. Apr 20,107.8
28. Apr 20,104
5. Mai 20,103.7
12. Mai 20,104.9
19. Mai 20,105.2
26. Mai 20,106.3
2. Juni 20,105.7
9. Juni 20,108.1
16. Juni 20,108.8
23. Juni 20,110.7
30. Juni 20,109.9
7. Juli 20,109.3
14. Juli 20,108.8
21. Juli 20,108.5
28. Juli 20,109
4. Aug 20,108.5
11. Aug 20,108.3
18. Aug 20,108.2
25. Aug 20,107.6
1. Sep 20,107.2
8. Sep 20,105.8
15. Sep 20,104.1
22. Sep 20,104.3
29. Sep 20,104.1
6. Okt 20,104.2
13. Okt 20,104.9
20. Okt 20,104.1
27. Okt 20,103.7
3. Nov 20,102.5
10. Nov 20,103.8
17. Nov 20,106.2
24. Nov 20,106.3
1. Dez 20,108
8. Dez 20,108.8
15. Dez 20,110.3
22. Dez 20,111.8
29. Dez 20,114.6
5. Jan 21,122.2
12. Jan 21,123.2
19. Jan 21,123.7
26. Jan 21,123.3
2. Feb 21,123.9
9. Feb 21,126
16. Feb 21,127.7
23. Feb 21,129.9
2. Mär 21,130.8
9. Mär 21,132.7
16. Mär 21,132.5
23. Mär 21,130.8
30. Mär 21,130.7
06. Apr 21,131.5
13. Apr 21,130.9
20. Apr 21,131.2
27. Apr 21,130.4
04. Mai 21,131.3
11. Mai 21,132.7
18. Mai 21,132.9
25. Mai 21,133.9
01. Jun 21,134.8
08. Jun 21,135.6
15. Jun 21,135.9
22. Jun 21,136.8
29. Jun 21,137.5
06. Jul 21,138.3
13. Jul 21,138.8
20. Jul 21,138.7
27. Jul 21,139.1
03. Aug 21,139.4
10. Aug 21,138.5
17. Aug 21,138.4
24. Aug 21,137.1
31. Aug 21,138.7
07. Sep 21,139.4
14. Sep 21,139.8
21. Sep 21,142
28. Sep 21,144.4
05. Okt 21,147.8
12. Okt 21,152.6
19. Okt 21,156
26. Okt 21,156.4
02. Nov 21,156.5
09. Nov 21,156.9
16. Nov 21,155.7
23. Nov 21,155.1
30. Nov 21,153.7
07. Dez 21,151.6
14. Dez 21,152.4
21. Dez 21,150.6
28. Dez 21,152.7
04. Jan 22,156.2
11. Jan 22,158.5
